KEY_ID,Tên Biến Hóa,Gốc,Biến,Động Hào,Lời Khuyên
G1-B9,Càn biến Tiểu Súc (Động 1),1,9,1,"Nếu trong tay không còn chứng phiếu thì không nên mua bán, nếu có thì hãy bán ra ở giá cao, nhưng không được tham lam quá."
G1-B14,Càn biến Đại Hữu (Động 2),1,14,2,"Không được tham lam, phải phân tích thị trường cẩn thận, không được làm bừa, tốt nhất là không nên nhập cuộc."
G1-B43,Càn biến Quải (Động 3),1,43,3,"Sức mua lớn, giá lên cao, nên mua vào, tuy trong lòng lo sợ nhưng vẫn có lãi."
G1-B44,Càn biến Cấu (Động 4),1,44,4,"Thuận theo tình thế mà mua bán, trong lòng thoải mái, giá cả dao động, mua bán nhanh là chính."
G1-B13,Càn biến Đồng Nhân (Động 5),1,13,5,"Phải mua bán cẩn thận, vì mua hay bán đều không lợi, tốt nhất là quan sát rồi mới quyết định."
G1-B10,Càn biến Lý (Động 6),1,10,6,"Bên bán đang bị kẹt, mua vào dễ có lãi, giá cả lên cao, chú ý điều chỉnh."
G43-B5,Quải biến Nhu (Động 1),43,5,1,"Bên mua tỏ ra yếu ớt, không nên mù quáng mua vào, giá cả dao động giảm xuống, ở thời điểm thấp nhất có thể mua vào nhưng phải bán ra nhanh."
G43-B34,Quải biến Đại Tráng (Động 2),43,34,2,"Thị trường tiềm ẩn rủi ro lớn, có khách hàng lớn mua vào, giá cả tăng lên nhanh chóng, mọi người lo lắng, liên tục bị kẹt, mua bán sẽ thua lỗ. Tạm thời không nên nhập cuộc, chờ thời cơ."
G43-B1,Quải biến Càn (Động 3),43,1,3,"Có cảnh tượng bên mua áp đảo bên bán, vượng cực thì suy, giá cả đã tăng đến đỉnh điểm, không thể mù quáng mua theo, lúc này không nên nhập cuộc, chờ xu thế rõ để có phương án."
G43-B28,Quải biến Đại Quá (Động 4),43,28,4,"Lượng giao dịch co lại, nhưng đó chỉ là hiện tượng tạm thời, là sự yên lặng trước khi xu thế chuyển đổi, không nên mua vào, chờ thời cơ mới nhập cuộc."
G43-B49,Quải biến Cách (Động 5),43,49,5,"Có khách hàng lớn nhập cuộc mua vào, giá cả biến đổi lớn, từng bước tăng cao, trở tay không kịp, dễ bị mắc kẹt, nhập cuộc cần cẩn thận."
G43-B58,Quải biến Đoài (Động 6),43,58,6,"Không nên nhập cuộc, vì tinh thần không ổn định, quá tham lam, vì quá tự tin mà bỏ lỡ cơ hội."
G14-B26,Đại Hữu biến Đại Súc (Động 1),14,26,1,"Có chính sách ảnh hưởng đến tình hình, thấy thấp mua vào là đúng sách lược, nhưng lợi nhuận không lớn."
